iter	op	class	chunk_bytes	comp	pattern	msgs	payload_bytes	chunks_touched	chunk_fetched_bytes	summary_bytes	raw_fetched	raw_reads	file_size	wall	rss_kb
3	read	small	4194304	zstd	full	2684355	268435500	84	152350710	7599	194882524	512	195313763	0.433147	14600
4	read	small	4194304	zstd	full	2684355	268435500	84	152350710	7599	194882524	512	195313763	0.434078	14404
5	read	small	4194304	zstd	full	2684355	268435500	84	152350710	7599	194882524	512	195313763	0.420471	14444
1	read	small	4194304	zstd	point	1	100	1	1821961	7599	1829571	180	195313763	0.005775	9892
2	read	small	4194304	zstd	point	1	100	1	1821961	7599	1829571	180	195313763	0.005810	9832
3	read	small	4194304	zstd	point	1	100	1	1821961	7599	1829571	180	195313763	0.005709	9836
4	read	small	4194304	zstd	point	1	100	1	1821961	7599	1829571	180	195313763	0.005696	9908
5	read	small	4194304	zstd	point	1	100	1	1821961	7599	1829571	180	195313763	0.005682	9900
1	read	small	4194304	zstd	range	26843	2684300	2	3635363	7599	4155313	184	195313763	0.011531	10056
2	read	small	4194304	zstd	range	26843	2684300	2	3635363	7599	4155313	184	195313763	0.010737	9832
3	read	small	4194304	zstd	range	26843	2684300	2	3635363	7599	4155313	184	195313763	0.010358	9896
4	read	small	4194304	zstd	range	26843	2684300	2	3635363	7599	4155313	184	195313763	0.010365	10000
5	read	small	4194304	zstd	range	26843	2684300	2	3635363	7599	4155313	184	195313763	0.010517	9892
1	read	small	4194304	zstd	streaming	402653	40265300	14	25440951	7599	32108981	232	195313763	0.070770	12068
2	read	small	4194304	zstd	streaming	402653	40265300	14	25440951	7599	32108981	232	195313763	0.070273	12104
3	read	small	4194304	zstd	streaming	402653	40265300	14	25440951	7599	32108981	232	195313763	0.070228	12016
4	read	small	4194304	zstd	streaming	402653	40265300	14	25440951	7599	32108981	232	195313763	0.069893	12056
5	read	small	4194304	zstd	streaming	402653	40265300	14	25440951	7599	32108981	232	195313763	0.069049	12016
1	write	small	8388608	zstd	-	2684355	268435500	0	0	0	0	0	195307313	1.741082	30416
2	write	small	8388608	zstd	-	2684355	268435500	0	0	0	0	0	195307313	1.946554	30340
3	write	small	8388608	zstd	-	2684355	268435500	0	0	0	0	0	195307313	1.963185	30424
1	read	small	8388608	zstd	full	2684355	268435500	42	152350770	3945	194364458	260	195307313	0.428372	24424
2	read	small	8388608	zstd	full	2684355	268435500	42	152350770	3945	194364458	260	195307313	0.430146	24368
3	read	small	8388608	zstd	full	2684355	268435500	42	152350770	3945	194364458	260	195307313	0.422727	24212
4	read	small	8388608	zstd	full	2684355	268435500	42	152350770	3945	194364458	260	195307313	0.421553	24312
5	read	small	8388608	zstd	full	2684355	268435500	42	152350770	3945	194364458	260	195307313	0.421856	24388
1	read	small	8388608	zstd	point	1	100	1	3636651	3945	3640607	96	195307313	0.011535	16320
2	read	small	8388608	zstd	point	1	100	1	3636651	3945	3640607	96	195307313	0.011355	16236
3	read	small	8388608	zstd	point	1	100	1	3636651	3945	3640607	96	195307313	0.011685	16232
4	read	small	8388608	zstd	point	1	100	1	3636651	3945	3640607	96	195307313	0.011231	16236
5	read	small	8388608	zstd	point	1	100	1	3636651	3945	3640607	96	195307313	0.011336	16364
1	read	small	8388608	zstd	range	26843	2684300	2	7272249	3945	8300833	100	195307313	0.022392	16152
2	read	small	8388608	zstd	range	26843	2684300	2	7272249	3945	8300833	100	195307313	0.020233	16208
3	read	small	8388608	zstd	range	26843	2684300	2	7272249	3945	8300833	100	195307313	0.020223	16212
4	read	small	8388608	zstd	range	26843	2684300	2	7272249	3945	8300833	100	195307313	0.020129	16160
5	read	small	8388608	zstd	range	26843	2684300	2	7272249	3945	8300833	100	195307313	0.020012	16216
1	read	small	8388608	zstd	streaming	402653	40265300	8	29082008	3945	36258360	124	195307313	0.081202	19772
2	read	small	8388608	zstd	streaming	402653	40265300	8	29082008	3945	36258360	124	195307313	0.080178	19624
3	read	small	8388608	zstd	streaming	402653	40265300	8	29082008	3945	36258360	124	195307313	0.080965	19528
