run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
4,1MiB,1KiB,sqlite_default,3192700463.64825,0.000324584
4,1MiB,1KiB,sqlite_resilient,1614133754.5181184,0.001210544
4,1MiB,10MiB,mcap_default,5320951724.615612,0.000934585
4,1MiB,10MiB,mcap_compressed_nocrc,561305238.0646142,0.00081971
4,1MiB,10MiB,mcap_uncompressed_crc,289533620.60105777,0.000882252
4,1MiB,10MiB,mcap_nochunking,4045529200.2742143,0.001077585
4,1MiB,10MiB,sqlite_default,3114167715.0190754,0.000340584
4,1MiB,10MiB,sqlite_resilient,1117347076.345795,0.000765585
4,10KiB,1KiB,mcap_default,6751405800.718537,0.001135669
4,10KiB,1KiB,mcap_compressed_nocrc,6752908672.365188,0.001471253
4,10KiB,1KiB,mcap_uncompressed_crc,289821331.4742304,0.001009335
4,10KiB,1KiB,mcap_nochunking,3774819964.762515,0.000961169
4,10KiB,1KiB,sqlite_default,608544482.0519089,0.000358251
4,10KiB,1KiB,sqlite_resilient,579018716.8244731,0.000541085
4,10KiB,10MiB,mcap_default,3185954304.0090113,0.001099628
4,10KiB,10MiB,mcap_compressed_nocrc,518773831.27598846,0.001437962
4,10KiB,10MiB,mcap_uncompressed_crc,281100151.82808566,0.000845544
4,10KiB,10MiB,mcap_nochunking,3590215160.9345927,0.007722977
4,10KiB,10MiB,sqlite_default,1858440705.6322985,0.000289918
4,10KiB,10MiB,sqlite_resilient,662048527.1366254,0.000836752
4,100B,1KiB,mcap_default,91014369.7067756,0.001577045
4,100B,1KiB,mcap_compressed_nocrc,90416922.0385424,0.002055213
4,100B,1KiB,mcap_uncompressed_crc,60645809.07932654,0.001217795
4,100B,1KiB,mcap_nochunking,462935682.31547403,0.001038544
4,100B,1KiB,sqlite_default,42953975.62026374,0.000243751
4,100B,1KiB,sqlite_resilient,46903083.06020116,0.000581919
4,100B,10MiB,mcap_default,86626781.09187767,0.001177003
4,100B,10MiB,mcap_compressed_nocrc,71968048.93597429,0.002268132
4,100B,10MiB,mcap_uncompressed_crc,58461324.16602898,0.00113592
4,100B,10MiB,mcap_nochunking,460985273.2056321,0.001021337
4,100B,10MiB,sqlite_default,83045617.06727935,0.000339876
4,100B,10MiB,sqlite_resilient,76240129.87539756,0.000958128
4,mixed,1KiB,mcap_default,494823460.24009395,0.000835295
4,mixed,1KiB,mcap_compressed_nocrc,461902468.6940258,0.001287254
4,mixed,1KiB,mcap_uncompressed_crc,97817679.920902,0.000733461
4,mixed,1KiB,mcap_nochunking,900047291.3522122,0.001200963
4,mixed,1KiB,sqlite_default,147100278.3595551,0.000266209
4,mixed,1KiB,sqlite_resilient,135142483.35802945,0.000915795
4,mixed,10MiB,mcap_default,773837426.6500232,0.00092942
4,mixed,10MiB,mcap_compressed_nocrc,339703903.0899328,0.001320921
4,mixed,10MiB,mcap_uncompressed_crc,205286994.08863038,0.000993837
4,mixed,10MiB,mcap_nochunking,2207899587.0282063,0.001201588
4,mixed,10MiB,sqlite_default,706987521.7542703,0.00028246
4,mixed,10MiB,sqlite_resilient,477080536.3600003,0.001721423
