run,messages,batch_size,plugin_config,avg_byte_throughput,close_time
1,10KiB,1KiB,mcap_default,6891702515.443869,0.000993256
1,10KiB,1KiB,mcap_compressed_nocrc,6891665196.790488,0.001428888
1,10KiB,1KiB,mcap_uncompressed_crc,291159649.3085412,0.000801687
1,10KiB,1KiB,mcap_nochunking,2939146241.684398,0.000966967
1,10KiB,1KiB,sqlite_default,570605485.4855866,0.000250647
1,10KiB,1KiB,sqlite_resilient,480765844.8195343,0.001014881
1,10KiB,10MiB,mcap_default,2708025650.2765694,0.0009813
1,10KiB,10MiB,mcap_compressed_nocrc,825965160.4125855,0.001368937
1,10KiB,10MiB,mcap_uncompressed_crc,275211663.6118157,0.000884933
1,10KiB,10MiB,mcap_nochunking,2865084985.970451,0.001132581
1,10KiB,10MiB,sqlite_default,1488090599.319994,0.000285854
1,10KiB,10MiB,sqlite_resilient,504675279.8158533,0.001075044
1,100B,1KiB,mcap_default,91887799.65343052,0.00121566
1,100B,1KiB,mcap_compressed_nocrc,91499429.75018387,0.002145386
1,100B,1KiB,mcap_uncompressed_crc,61800438.53644706,0.001131086
1,100B,1KiB,mcap_nochunking,450928435.0721282,0.001083507
1,100B,1KiB,sqlite_default,43719853.77703051,0.00026769
1,100B,1KiB,sqlite_resilient,40931944.60018069,0.001544478
1,100B,10MiB,mcap_default,86642435.57774347,0.001233125
1,100B,10MiB,mcap_compressed_nocrc,72281081.99785075,0.00218198
1,100B,10MiB,mcap_uncompressed_crc,59268619.729568504,0.001444863
1,100B,10MiB,mcap_nochunking,433470117.7673301,0.002882729
1,100B,10MiB,sqlite_default,82624740.10705455,0.000359727
1,100B,10MiB,sqlite_resilient,70725229.12020332,0.001299168
1,mixed,1KiB,mcap_default,483894290.2847956,0.000941482
1,mixed,1KiB,mcap_compressed_nocrc,467604811.0006007,0.001282294
1,mixed,1KiB,mcap_uncompressed_crc,99277785.4883165,0.000766202
1,mixed,1KiB,mcap_nochunking,789574587.477991,0.000999938
1,mixed,1KiB,sqlite_default,138896929.06310192,0.000345853
1,mixed,1KiB,sqlite_resilient,124089330.60243292,0.002072539
1,mixed,10MiB,mcap_default,755415008.4594545,0.000895278
1,mixed,10MiB,mcap_compressed_nocrc,424248105.22022706,0.001235091
1,mixed,10MiB,mcap_uncompressed_crc,206644862.5720709,0.000785453
1,mixed,10MiB,mcap_nochunking,1784161169.1495175,0.000979524
1,mixed,10MiB,sqlite_default,648497811.0432551,0.000285274
1,mixed,10MiB,sqlite_resilient,367976809.6047412,0.003270805
2,1MiB,1KiB,mcap_default,4029748696.47321,0.000844158
2,1MiB,1KiB,mcap_compressed_nocrc,1067712499.3223158,0.000791204
2,1MiB,1KiB,mcap_uncompressed_crc,285793846.45535225,0.000724915
2,1MiB,1KiB,mcap_nochunking,2571179039.532665,0.000972943
2,1MiB,1KiB,sqlite_default,2697456430.8646393,0.000317564
2,1MiB,1KiB,sqlite_resilient,1425900228.7233896,0.002377362
2,1MiB,10MiB,mcap_default,4026079065.8865027,0.000821702
2,1MiB,10MiB,mcap_compressed_nocrc,1028470040.0657536,0.000819995
2,1MiB,10MiB,mcap_uncompressed_crc,285482307.2921051,0.000777247
2,1MiB,10MiB,mcap_nochunking,2537911832.8008456,0.000978528
2,1MiB,10MiB,sqlite_default,2438614661.586467,0.000311941
2,1MiB,10MiB,sqlite_resilient,607853045.9717404,0.001004277
2,10KiB,1KiB,mcap_default,6840766570.456607,0.00096332
2,10KiB,1KiB,mcap_compressed_nocrc,6786479382.991372,0.00139288
2,10KiB,1KiB,mcap_uncompressed_crc,290792099.5134215,0.000883534
2,10KiB,1KiB,mcap_nochunking,2862796378.2146497,0.000986445
2,10KiB,1KiB,sqlite_default,564902739.3720329,0.00029315
2,10KiB,1KiB,sqlite_resilient,501701161.45904547,0.000893909
2,10KiB,10MiB,mcap_default,2720104449.460027,0.000970738
2,10KiB,10MiB,mcap_compressed_nocrc,832361615.6934879,0.00145992
2,10KiB,10MiB,mcap_uncompressed_crc,274853661.7398489,0.000858287
2,10KiB,10MiB,mcap_nochunking,2724465118.766429,0.000989863
2,10KiB,10MiB,sqlite_default,1419989484.575733,0.000339565
2,10KiB,10MiB,sqlite_resilient,485197643.4429544,0.001151396
2,100B,1KiB,mcap_default,92053315.77003765,0.00124385
2,100B,1KiB,mcap_compressed_nocrc,92192503.3948121,0.002170552
2,100B,1KiB,mcap_uncompressed_crc,60231482.79666175,0.001368929
2,100B,1KiB,mcap_nochunking,448165795.8611307,0.001154899
2,100B,1KiB,sqlite_default,44028937.038269944,0.000252862
2,100B,1KiB,sqlite_resilient,41893022.62173561,0.001819702
2,100B,10MiB,mcap_default,87154894.18534058,0.001286562
2,100B,10MiB,mcap_compressed_nocrc,72176147.80499083,0.00221856
2,100B,10MiB,mcap_uncompressed_crc,59230412.23391366,0.001146362
2,100B,10MiB,mcap_nochunking,437343208.5707897,0.00176425
2,100B,10MiB,sqlite_default,83023838.40648523,0.000385149
2,100B,10MiB,sqlite_resilient,74017381.00687763,0.001202945
2,mixed,1KiB,mcap_default,489910773.31038004,0.000880376
2,mixed,1KiB,mcap_compressed_nocrc,461158968.4435588,0.001225402
2,mixed,1KiB,mcap_uncompressed_crc,99730881.48237221,0.000794714
2,mixed,1KiB,mcap_nochunking,755522939.7192789,0.00095854
2,mixed,1KiB,sqlite_default,136811867.69752783,0.000285029
2,mixed,1KiB,sqlite_resilient,119815584.22785407,0.001933747
2,mixed,10MiB,mcap_default,730407433.8798816,0.000888961
2,mixed,10MiB,mcap_compressed_nocrc,416741709.17257255,0.001210363
2,mixed,10MiB,mcap_uncompressed_crc,205427865.5963512,0.000762675
2,mixed,10MiB,mcap_nochunking,1666189612.7950416,0.000959625
2,mixed,10MiB,sqlite_default,629763885.3118154,0.000284821
2,mixed,10MiB,sqlite_resilient,342360404.78519446,0.003970578
3,1MiB,1KiB,mcap_default,3417678443.0836754,0.000994332
3,1MiB,1KiB,mcap_compressed_nocrc,996597717.4579158,0.000867046
3,1MiB,1KiB,mcap_uncompressed_crc,282817849.2370732,0.000656264
3,1MiB,1KiB,mcap_nochunking,2496829786.0178905,0.000984083
3,1MiB,1KiB,sqlite_default,2447209387.8363914,0.000296154
3,1MiB,1KiB,sqlite_resilient,1318493121.677516,0.002371816
3,1MiB,10MiB,mcap_default,3431842555.665504,0.00083634
3,1MiB,10MiB,mcap_compressed_nocrc,999156611.1362642,0.00086513
3,1MiB,10MiB,mcap_uncompressed_crc,282893597.9640329,0.000711179
3,1MiB,10MiB,mcap_nochunking,2299761485.943866,0.001237073
3,1MiB,10MiB,sqlite_default,2270100064.2424135,0.000315446
3,1MiB,10MiB,sqlite_resilient,696228205.9036123,0.000952919
3,10KiB,1KiB,mcap_default,6777018616.911086,0.001027541
3,10KiB,1KiB,mcap_compressed_nocrc,6804690018.592037,0.001649349
3,10KiB,1KiB,mcap_uncompressed_crc,291028561.1181924,0.001064457
3,10KiB,1KiB,mcap_nochunking,2679895159.782372,0.001012
3,10KiB,1KiB,sqlite_default,564100925.9681355,0.000265906
3,10KiB,1KiB,sqlite_resilient,483363457.18194854,0.001117246
